customer_id,total_transactions,total_spent,avg_transaction,first_purchase,last_purchase
CS1588,25,1591.0,63.64,2011-05-17,2015-03-07
CS5514,25,1668.0,66.72,2011-10-31,2014-12-29
CS5933,23,1734.0,75.39,2011-05-26,2015-03-11
CS2797,20,1352.0,67.6,2011-06-25,2014-08-22
CS5313,17,1193.0,70.18,2011-09-24,2014-11-11
CS5966,21,1416.0,67.43,2011-08-06,2015-03-16
CS5211,18,1273.0,70.72,2012-02-04,2015-01-13
CS1511,18,1253.0,69.61,2011-05-26,2015-01-25
CS6087,23,1528.0,66.43,2011-06-08,2015-01-30
CS5909,17,1218.0,71.65,2011-11-17,2014-11-14
CS2845,27,1829.0,67.74,2011-05-25,2015-01-02
CS1433,20,1468.0,73.4,2011-06-08,2015-02-05
CS4897,30,1999.0,66.63,2011-05-24,2015-02-05
CS2296,25,1876.0,75.04,2011-06-10,2015-02-13
CS1494,21,1502.0,71.52,2011-05-26,2014-11-18
CS3688,27,2014.0,74.59,2011-05-17,2015-03-01
CS2287,17,1170.0,68.82,2011-12-15,2015-02-03
CS3779,20,1494.0,74.7,2011-06-26,2015-03-06
CS1423,20,1182.0,59.1,2011-07-12,2015-01-20
CS2501,23,1600.0,69.57,2011-05-31,2015-02-17
CS3434,21,1429.0,68.05,2011-06-25,2014-09-17
CS2662,26,1735.0,66.73,2011-05-30,2015-02-27
CS2209,15,949.0,63.27,2012-03-01,2014-10-29
CS4530,19,1477.0,77.74,2011-06-05,2014-12-03
CS2848,19,1331.0,70.05,2011-06-08,2015-01-09
CS2596,12,923.0,76.92,2011-07-28,2014-12-22
CS4421,23,1801.0,78.3,2011-05-25,2015-01-16
CS4905,23,1575.0,68.48,2011-06-12,2015-03-02
CS5704,12,836.0,69.67,2011-10-05,2014-11-23
CS2403,24,1640.0,68.33,2011-12-27,2014-12-21
CS5480,24,1681.0,70.04,2011-06-07,2015-01-19
CS5811,22,1479.0,67.23,2011-05-23,2014-10-18
CS2051,20,1585.0,79.25,2011-06-06,2014-12-09
CS3957,19,1288.0,67.79,2011-07-15,2015-02-12
CS4704,20,1380.0,69.0,2011-06-11,2015-02-22
CS2289,20,1311.0,65.55,2011-09-11,2014-10-08
CS5218,16,1229.0,76.81,2011-07-24,2014-12-24
CS4637,19,1467.0,77.21,2011-05-20,2015-03-12
CS3158,17,1229.0,72.29,2011-08-10,2014-11-25
CS4176,16,970.0,60.63,2011-06-28,2014-11-27
CS1939,19,1297.0,68.26,2011-06-05,2014-09-20
CS5403,24,1774.0,73.92,2011-07-29,2015-03-03
CS5489,26,1769.0,68.04,2011-05-28,2015-02-05
CS4563,25,1674.0,66.96,2011-05-30,2015-01-22
CS3508,20,1453.0,72.65,2011-06-25,2015-01-30
CS2703,25,1615.0,64.6,2011-06-12,2015-03-05
CS5990,32,2326.0,72.69,2011-05-18,2015-02-06
CS4215,21,1382.0,65.81,2011-07-09,2015-02-24
CS4811,20,1399.0,69.95,2011-07-27,2014-07-27
CS2070,19,1354.0,71.26,2011-06-05,2015-02-17
CS3419,22,1635.0,74.32,2011-07-19,2015-02-04
CS3668,17,1276.0,75.06,2011-09-06,2014-11-02
CS4623,23,1717.0,74.65,2011-06-03,2015-02-12
CS4708,21,1427.0,67.95,2011-07-01,2015-02-28
CS1816,22,1723.0,78.32,2011-06-10,2015-02-09
CS5376,25,1584.0,63.36,2011-12-12,2015-01-29
CS4568,18,1138.0,63.22,2011-07-11,2015-01-25
CS1779,16,1086.0,67.88,2011-06-10,2015-03-02
CS2447,17,1329.0,78.18,2011-07-10,2014-08-13
CS1985,20,1411.0,70.55,2011-05-29,2015-01-20
CS2544,22,1490.0,67.73,2011-08-24,2015-01-04
CS2158,18,1305.0,72.5,2011-06-21,2014-09-09
CS5776,19,1486.0,78.21,2011-11-23,2015-03-12
CS5653,18,1370.0,76.11,2011-06-21,2014-02-15
CS2291,20,1424.0,71.2,2011-06-26,2015-03-13
CS6088,15,1039.0,69.27,2011-08-08,2015-02-11
CS4245,24,1693.0,70.54,2011-06-17,2014-11-03
CS3344,11,769.0,69.91,2011-07-05,2014-09-23
CS1481,13,876.0,67.38,2011-06-10,2013-12-23
CS5400,18,1187.0,65.94,2011-12-23,2015-02-08
CS5463,24,1658.0,69.08,2011-05-17,2014-10-18
CS5951,17,1229.0,72.29,2011-06-03,2014-11-03
CS5515,17,1084.0,63.76,2011-07-17,2015-03-15
CS3039,17,1296.0,76.24,2011-07-03,2015-02-20
CS1836,26,1905.0,73.27,2011-08-09,2014-06-26
CS4320,38,2647.0,69.66,2011-05-27,2014-12-26
CS4889,23,1436.0,62.43,2011-05-24,2015-03-11
CS1319,18,1161.0,64.5,2011-09-26,2014-12-18
CS4859,18,1332.0,74.0,2011-07-14,2015-02-10
CS5264,15,1011.0,67.4,2011-08-03,2015-03-07
CS4041,16,1056.0,66.0,2011-06-06,2014-12-29
CS2183,13,855.0,65.77,2012-01-01,2015-01-16
CS2516,17,1258.0,74.0,2011-05-24,2015-02-15
CS1890,23,1591.0,69.17,2011-09-15,2015-03-03
CS3730,17,1270.0,74.71,2011-06-03,2015-03-01
CS5382,29,1890.0,65.17,2011-08-07,2014-10-29
CS5970,24,1664.0,69.33,2011-07-28,2015-02-14
CS5260,25,1790.0,71.6,2011-07-07,2015-03-10
CS2437,21,1611.0,76.71,2011-08-09,2015-01-18
CS4675,21,1521.0,72.43,2011-06-20,2014-03-26
CS2920,21,1419.0,67.57,2011-07-09,2015-03-09
CS2548,24,1661.0,69.21,2011-05-22,2014-10-04
CS1818,22,1674.0,76.09,2011-09-03,2015-02-25
CS6098,25,1957.0,78.28,2011-10-19,2015-03-12
CS2712,20,1366.0,68.3,2011-05-30,2015-03-10
CS2714,13,871.0,67.0,2011-12-14,2015-02-07
CS2615,30,2090.0,69.67,2011-07-10,2015-02-20
CS5445,18,1203.0,66.83,2011-05-23,2015-03-14
CS5812,23,1680.0,73.04,2011-05-18,2015-03-07
CS4636,16,1101.0,68.81,2011-06-03,2014-12-13
CS3147,17,1211.0,71.24,2011-07-05,2014-10-09
CS1273,25,1800.0,72.0,2011-08-25,2015-02-17
CS4243,24,1586.0,66.08,2011-07-29,2015-01-06
CS2357,24,1753.0,73.04,2011-07-12,2015-03-15
CS1776,25,1782.0,71.28,2011-05-17,2015-01-17
CS5643,22,1581.0,71.86,2011-06-18,2015-02-11
CS4522,24,1699.0,70.79,2011-09-01,2015-03-06
CS2418,15,951.0,63.4,2011-09-13,2015-02-01
CS1330,23,1750.0,76.09,2011-08-30,2015-02-17
CS1195,20,1378.0,68.9,2011-09-25,2015-02-24
CS4306,18,1136.0,63.11,2011-10-12,2015-03-07
CS2137,25,1686.0,67.44,2011-09-23,2015-03-13
CS3518,25,1560.0,62.4,2011-07-23,2015-03-07
CS5835,25,1592.0,63.68,2011-08-17,2014-12-23
CS4701,23,1632.0,70.96,2011-07-09,2015-01-30
CS4548,15,995.0,66.33,2011-05-21,2015-03-04
CS2384,21,1323.0,63.0,2011-07-16,2015-01-31
CS4081,25,1715.0,68.6,2011-08-27,2015-02-25
CS5976,24,1623.0,67.63,2011-05-23,2015-02-26
CS3874,21,1473.0,70.14,2011-07-13,2015-03-05
CS5356,20,1447.0,72.35,2011-05-28,2015-01-09
CS4667,13,894.0,68.77,2011-07-29,2015-02-25
CS4328,21,1474.0,70.19,2011-07-03,2014-12-22
CS3291,26,1994.0,76.69,2011-07-26,2015-02-17
CS4282,19,1351.0,71.11,2011-06-13,2015-03-03
CS4331,18,1229.0,68.28,2011-06-28,2014-05-27
CS1243,17,1087.0,63.94,2011-10-11,2015-02-06
CS2390,10,736.0,73.6,2011-07-09,2014-08-24
CS2207,26,1818.0,69.92,2011-07-18,2015-02-22
CS1270,27,1990.0,73.7,2011-05-17,2015-02-17
CS1219,21,1447.0,68.9,2011-11-24,2015-03-12
CS5427,19,1333.0,70.16,2011-07-24,2015-02-11
CS5474,18,1105.0,61.39,2011-05-18,2015-01-31
CS5109,35,2506.0,71.6,2011-06-17,2015-02-04
CS5287,32,2307.0,72.09,2011-05-31,2015-03-14
CS3477,31,1978.0,63.81,2011-07-10,2015-01-06
CS3970,20,1427.0,71.35,2011-08-24,2015-03-09
CS5760,29,1943.0,67.0,2011-08-07,2015-03-10
CS2149,23,1586.0,68.96,2011-06-20,2015-02-28
CS4934,24,1865.0,77.71,2011-05-21,2014-10-08
CS1517,18,1168.0,64.89,2011-06-29,2014-12-21
CS1641,17,1232.0,72.47,2011-07-21,2015-03-08
CS2187,24,1856.0,77.33,2011-05-21,2015-01-20
CS5359,13,1009.0,77.62,2011-07-16,2014-11-14
CS3124,19,1335.0,70.26,2011-07-06,2014-11-17
CS1721,24,1687.0,70.29,2011-06-07,2015-02-24
CS5212,25,1669.0,66.76,2011-07-09,2015-01-25
CS5111,28,1948.0,69.57,2011-06-17,2015-01-08
CS3137,17,1201.0,70.65,2011-10-05,2015-03-10
CS5994,20,1523.0,76.15,2011-06-12,2014-12-22
CS2613,22,1537.0,69.86,2011-07-10,2015-02-18
CS1934,18,1262.0,70.11,2011-06-22,2015-01-31
CS3127,26,1665.0,64.04,2011-06-08,2015-03-16
CS5225,22,1334.0,60.64,2011-08-24,2014-12-06
CS1815,14,959.0,68.5,2011-05-26,2015-02-05
CS3552,21,1467.0,69.86,2012-06-13,2015-03-14
CS1893,19,1262.0,66.42,2011-07-17,2014-12-24
CS3621,28,1885.0,67.32,2011-07-19,2014-12-27
CS4330,30,1990.0,66.33,2011-06-02,2014-10-21
CS4991,15,1143.0,76.2,2011-06-01,2015-03-02
CS2312,26,1769.0,68.04,2011-07-03,2014-11-27
CS2359,24,1770.0,73.75,2011-08-21,2015-02-12
CS4798,27,2151.0,79.67,2011-07-01,2015-02-21
CS2507,23,1721.0,74.83,2011-09-25,2014-08-16
CS1430,21,1440.0,68.57,2011-07-01,2015-03-03
CS3787,22,1558.0,70.82,2011-07-09,2015-03-12
CS4103,28,1997.0,71.32,2011-05-27,2015-02-05
CS2881,26,1801.0,69.27,2011-06-04,2014-09-19
CS1854,22,1686.0,76.64,2011-06-12,2014-11-27
CS2863,25,1716.0,68.64,2011-08-07,2014-11-03
CS5292,27,1841.0,68.19,2011-06-26,2015-01-26
CS3184,20,1578.0,78.9,2011-06-05,2015-02-20
CS2049,22,1447.0,65.77,2011-05-29,2014-11-12
CS2832,24,1585.0,66.04,2011-05-23,2015-02-20
CS2251,25,1745.0,69.8,2011-05-23,2015-03-03
CS5667,20,1333.0,66.65,2011-06-27,2014-11-19
CS1327,23,1525.0,66.3,2011-12-12,2015-03-02
CS4927,20,1401.0,70.05,2011-07-09,2015-01-27
CS2302,23,1585.0,68.91,2011-06-15,2014-12-24
CS3901,17,1145.0,67.35,2011-05-21,2015-01-31
CS5762,23,1590.0,69.13,2011-05-19,2014-10-28
CS2867,21,1464.0,69.71,2011-05-31,2015-02-23
CS5814,14,881.0,62.93,2011-12-12,2015-01-04
CS5129,24,1567.0,65.29,2011-06-21,2014-12-10
CS2597,21,1474.0,70.19,2011-08-20,2015-01-10
CS5838,17,1384.0,81.41,2011-07-20,2014-12-08
CS5800,23,1713.0,74.48,2011-05-26,2015-03-10
CS3786,18,1254.0,69.67,2011-08-18,2015-01-29
CS3659,21,1529.0,72.81,2011-07-15,2015-02-15
CS4400,21,1466.0,69.81,2011-08-23,2014-12-28
CS3026,21,1409.0,67.1,2011-07-05,2015-02-10
CS3632,27,1947.0,72.11,2011-06-19,2015-03-13
CS1452,15,941.0,62.73,2011-06-01,2014-11-28
CS5140,23,1647.0,71.61,2011-12-08,2014-12-22
CS5383,23,1620.0,70.43,2011-07-07,2014-12-21
CS4695,17,1237.0,72.76,2011-09-11,2014-10-01
CS2368,27,1859.0,68.85,2011-07-22,2015-03-09
CS2066,15,975.0,65.0,2011-07-15,2014-10-23
CS5277,19,1427.0,75.11,2011-07-12,2014-11-23
CS3025,13,960.0,73.85,2011-12-30,2014-12-28
CS4802,20,1451.0,72.55,2011-06-05,2015-03-09
CS6001,19,1322.0,69.58,2011-06-10,2014-08-16
CS3981,21,1595.0,75.95,2011-07-25,2015-03-02
CS3885,28,2129.0,76.04,2011-05-30,2015-03-02
CS5546,15,1162.0,77.47,2011-06-04,2015-01-09
CS4964,20,1237.0,61.85,2011-08-01,2015-02-07
CS4881,17,1109.0,65.24,2011-09-20,2015-03-10
CS5884,18,1320.0,73.33,2011-07-27,2015-02-09
CS2765,24,1639.0,68.29,2011-08-29,2015-03-04
CS4438,24,1718.0,71.58,2011-05-29,2015-03-11
CS2234,10,808.0,80.8,2011-12-01,2014-12-21
CS3015,24,1601.0,66.71,2011-08-13,2015-03-04
CS3755,22,1442.0,65.55,2011-05-24,2015-01-01
CS3927,26,1854.0,71.31,2011-10-17,2014-11-15
CS5799,21,1528.0,72.76,2011-07-21,2015-02-01
CS5708,22,1691.0,76.86,2011-06-03,2015-01-09
CS3695,24,1587.0,66.13,2011-06-02,2015-03-14
CS1969,29,1851.0,63.83,2011-08-26,2015-02-04
CS3854,18,1477.0,82.06,2011-05-28,2015-02-14
CS3416,20,1441.0,72.05,2011-06-27,2015-02-23
CS1414,20,1437.0,71.85,2011-05-31,2014-10-14
CS4732,16,1197.0,74.81,2011-07-28,2014-06-11
CS2493,28,1817.0,64.89,2011-05-20,2015-03-15
CS5851,24,1816.0,75.67,2011-07-04,2015-03-13
CS1678,18,1230.0,68.33,2011-08-10,2014-12-31
CS3676,20,1273.0,63.65,2011-05-26,2015-02-03
CS4853,19,1294.0,68.11,2011-06-14,2014-12-26
CS4292,16,1261.0,78.81,2011-09-16,2014-11-29
CS3152,15,924.0,61.6,2011-11-17,2014-12-15
CS5640,16,1019.0,63.69,2011-05-29,2015-01-07
CS5857,13,993.0,76.38,2011-05-17,2015-03-05
CS1472,19,1241.0,65.32,2011-06-03,2015-03-08
CS3888,20,1339.0,66.95,2011-12-01,2015-02-18
CS5563,14,983.0,70.21,2011-08-20,2014-05-25
CS5104,16,1102.0,68.88,2011-08-05,2014-08-18
CS6109,17,1071.0,63.0,2011-06-09,2014-01-30
CS2352,20,1539.0,76.95,2011-07-17,2014-10-06
CS4024,19,1444.0,76.0,2011-07-16,2014-12-19
CS1499,26,1879.0,72.27,2011-08-09,2015-01-30
CS3071,23,1642.0,71.39,2011-05-26,2015-02-22
CS5638,21,1484.0,70.67,2011-07-22,2015-01-02
CS5533,17,1043.0,61.35,2012-03-14,2014-12-21
CS1961,15,1102.0,73.47,2011-07-19,2015-02-19
CS1707,22,1627.0,73.95,2011-05-16,2015-02-03
CS3692,25,1804.0,72.16,2011-05-16,2015-01-19
CS1275,18,1321.0,73.39,2011-12-28,2015-03-16
CS4738,18,1258.0,69.89,2011-06-27,2015-01-11
CS3732,18,1283.0,71.28,2011-06-12,2014-09-27
CS5676,21,1311.0,62.43,2011-05-29,2015-01-17
CS4111,26,1906.0,73.31,2011-07-14,2015-01-30
CS2074,17,1241.0,73.0,2011-08-04,2015-03-15
CS5815,28,2145.0,76.61,2011-05-16,2015-02-20
CS5094,18,1289.0,71.61,2012-01-20,2015-03-07
CS5431,16,994.0,62.13,2011-12-18,2015-03-12
CS4540,32,2361.0,73.78,2011-08-14,2015-03-16
CS1891,14,927.0,66.21,2011-05-31,2014-05-11
CS4389,27,1894.0,70.15,2011-05-25,2014-12-15
CS4412,20,1405.0,70.25,2011-12-30,2015-03-16
CS1697,15,1082.0,72.13,2011-08-25,2014-11-29
CS2720,21,1294.0,61.62,2011-07-04,2014-11-20
CS1152,20,1457.0,72.85,2011-09-23,2015-03-10
CS3796,19,1312.0,69.05,2011-07-09,2015-02-10
CS6066,26,1841.0,70.81,2011-08-03,2015-01-04
CS2643,22,1644.0,74.73,2011-10-16,2014-10-01
CS6056,22,1683.0,76.5,2011-05-20,2015-03-02
CS3489,19,1357.0,71.42,2011-09-11,2015-02-14
CS5229,11,669.0,60.82,2011-11-23,2015-01-09
CS4649,19,1286.0,67.68,2011-08-15,2015-03-09
CS4372,16,1010.0,63.13,2011-11-17,2015-01-12
CS1790,18,1241.0,68.94,2011-06-04,2014-09-17
CS1475,18,1197.0,66.5,2011-05-24,2015-01-20
CS2452,20,1291.0,64.55,2011-06-04,2014-12-06
CS2781,16,1098.0,68.63,2011-06-02,2015-02-19
CS5155,26,1838.0,70.69,2011-06-29,2015-02-06
CS1582,27,2009.0,74.41,2011-05-23,2015-02-26
CS4757,17,1188.0,69.88,2011-08-19,2015-03-08
CS6039,24,1676.0,69.83,2011-06-20,2015-01-30
CS1580,33,2329.0,70.58,2011-07-12,2014-09-07
CS3815,14,1018.0,72.71,2011-07-05,2014-09-04
CS6063,16,1169.0,73.06,2011-06-26,2015-03-06
CS2226,17,1270.0,74.71,2011-09-18,2015-03-09
CS5367,21,1661.0,79.1,2011-08-31,2015-01-08
CS4581,14,1153.0,82.36,2011-09-08,2015-01-18
CS5004,18,1302.0,72.33,2011-06-20,2014-12-26
CS2164,17,1184.0,69.65,2011-06-16,2014-06-24
CS4590,24,1625.0,67.71,2011-07-27,2015-01-31
CS4600,19,1181.0,62.16,2011-06-29,2014-12-03
CS3060,24,1763.0,73.46,2011-07-31,2014-11-28
CS2217,17,1290.0,75.88,2011-07-19,2015-02-24
CS4288,16,983.0,61.44,2011-07-15,2015-01-14
CS1568,20,1604.0,80.2,2011-05-31,2015-02-11
CS3442,26,1850.0,71.15,2011-05-22,2015-03-07
CS4883,15,1012.0,67.47,2011-07-31,2014-12-02
CS4911,15,1069.0,71.27,2011-06-02,2014-11-06
CS1533,23,1606.0,69.83,2011-09-12,2015-02-01
CS3103,16,1006.0,62.88,2011-06-22,2015-03-13
CS2185,15,988.0,65.87,2011-07-22,2014-10-09
CS4094,18,1327.0,73.72,2011-06-26,2014-07-31
CS4354,23,1641.0,71.35,2011-10-09,2015-03-12
CS5516,16,1193.0,74.56,2011-07-06,2014-06-16
CS5664,21,1357.0,64.62,2011-06-09,2015-02-01
CS5068,22,1500.0,68.18,2011-06-27,2015-02-21
CS4376,20,1353.0,67.65,2011-05-28,2014-10-16
CS5825,14,999.0,71.36,2011-06-09,2015-02-10
CS1871,20,1449.0,72.45,2011-06-12,2014-10-26
CS5046,24,1712.0,71.33,2011-06-25,2015-02-06
CS1259,22,1679.0,76.32,2011-07-20,2014-09-29
CS2986,25,1720.0,68.8,2011-06-13,2014-12-26
CS5510,19,1415.0,74.47,2011-08-11,2015-01-22
CS4077,26,1634.0,62.85,2011-05-21,2015-03-15
CS3466,21,1429.0,68.05,2011-06-21,2015-03-05
CS1508,28,1933.0,69.04,2011-10-15,2015-03-02
CS2469,20,1322.0,66.1,2011-06-19,2015-02-14
CS2767,18,1323.0,73.5,2011-07-27,2015-03-15
CS5790,19,1447.0,76.16,2011-05-31,2014-10-04
CS1710,22,1577.0,71.68,2011-07-19,2014-06-24
CS2554,12,851.0,70.92,2011-05-26,2015-01-20
CS5283,23,1647.0,71.61,2012-02-06,2015-02-05
CS4050,22,1553.0,70.59,2011-08-18,2014-11-17
CS5975,17,1331.0,78.29,2011-06-08,2015-03-04
CS4227,24,1751.0,72.96,2011-09-15,2015-02-21
CS5983,17,1171.0,68.88,2011-05-20,2015-01-05
CS2490,22,1561.0,70.95,2011-06-25,2015-01-30
CS1696,19,1325.0,69.74,2011-11-21,2014-11-07
CS3209,23,1707.0,74.22,2011-07-19,2015-01-22
CS2942,17,1246.0,73.29,2011-08-15,2015-01-05
CS4981,25,1703.0,68.12,2011-05-25,2015-02-18
CS1397,30,2156.0,71.87,2011-06-30,2014-10-01
CS1903,25,1826.0,73.04,2011-05-19,2015-03-10
CS3754,25,1886.0,75.44,2011-07-03,2014-12-11
CS4763,21,1382.0,65.81,2011-07-08,2015-02-26
CS4413,22,1491.0,67.77,2011-06-04,2015-03-05
CS2333,24,1822.0,75.92,2011-07-13,2015-03-02
CS2798,21,1535.0,73.1,2011-05-22,2014-12-29
CS5033,22,1687.0,76.68,2011-08-14,2014-12-14
CS1420,25,1923.0,76.92,2011-06-15,2014-12-25
CS5132,22,1568.0,71.27,2011-08-04,2015-02-15
CS3058,25,1810.0,72.4,2011-06-28,2015-03-04
CS2463,17,1131.0,66.53,2011-07-03,2015-03-03
CS5209,20,1211.0,60.55,2011-07-03,2014-09-03
CS3424,17,1219.0,71.71,2011-08-07,2015-02-18
CS3207,20,1322.0,66.1,2011-12-29,2015-02-09
CS5763,21,1461.0,69.57,2011-10-29,2014-09-25
CS5772,26,1891.0,72.73,2011-07-17,2014-11-07
CS3673,24,1954.0,81.42,2011-07-17,2015-03-14
CS2887,25,1527.0,61.08,2011-06-09,2015-02-10
CS1596,19,1342.0,70.63,2011-07-01,2015-02-26
CS4299,19,1179.0,62.05,2012-01-19,2015-01-25
CS1492,19,1358.0,71.47,2011-08-10,2015-02-07
CS2313,22,1507.0,68.5,2011-06-13,2015-03-06
CS5385,13,740.0,56.92,2011-05-24,2015-01-19
CS3441,26,1721.0,66.19,2011-06-23,2014-12-25
CS1746,26,1878.0,72.23,2011-05-19,2014-06-15
CS3276,24,1626.0,67.75,2011-06-08,2015-02-24
CS2555,18,1146.0,63.67,2011-09-15,2015-03-16
CS2569,24,1773.0,73.88,2011-06-26,2015-03-06
CS3426,28,1896.0,67.71,2011-10-29,2015-01-29
CS3052,26,1811.0,69.65,2011-07-04,2015-02-04
CS1993,19,1164.0,61.26,2011-07-12,2014-09-22
CS4908,24,1842.0,76.75,2011-06-26,2014-10-19
CS3021,13,871.0,67.0,2011-07-26,2015-01-02
CS4424,39,2933.0,75.21,2011-05-25,2015-01-19
CS4841,26,1960.0,75.38,2011-05-19,2015-03-15
CS3486,16,1147.0,71.69,2011-07-30,2014-10-12
CS2218,17,1157.0,68.06,2011-07-09,2015-02-23
CS4779,23,1595.0,69.35,2011-10-31,2015-03-08
CS4226,21,1676.0,79.81,2012-03-09,2015-01-01
CS1653,26,1986.0,76.38,2011-05-28,2014-11-19
CS2533,24,1609.0,67.04,2011-09-13,2015-03-06
CS2905,17,1185.0,69.71,2011-09-30,2014-12-20
CS5169,18,1241.0,68.94,2011-09-13,2014-12-07
CS5142,19,1323.0,69.63,2011-05-17,2015-03-08
CS4390,20,1264.0,63.2,2011-05-28,2015-03-04
CS5668,27,1802.0,66.74,2011-05-28,2015-03-15
CS2896,24,1845.0,76.88,2011-06-14,2015-01-27
CS5156,16,1185.0,74.06,2011-05-22,2014-12-10
CS4200,19,1092.0,57.47,2011-09-26,2015-02-04
CS4391,21,1506.0,71.71,2011-06-07,2015-01-29
CS5408,27,1938.0,71.78,2011-07-02,2015-01-06
CS6019,21,1556.0,74.1,2011-08-30,2015-01-22
CS5925,21,1475.0,70.24,2011-06-07,2015-03-10
CS3964,25,1871.0,74.84,2011-05-31,2015-03-08
CS4688,20,1417.0,70.85,2011-07-24,2014-12-15
CS1343,21,1489.0,70.9,2011-07-19,2015-01-08
CS6024,25,1745.0,69.8,2011-06-11,2015-03-16
CS2816,21,1401.0,66.71,2011-08-04,2015-03-06
CS2434,26,1746.0,67.15,2011-07-22,2015-02-05
CS6018,17,1169.0,68.76,2011-06-29,2015-03-12
CS2072,24,1712.0,71.33,2011-11-12,2015-03-09
CS2897,16,1188.0,74.25,2011-05-16,2015-02-17
CS1680,18,1151.0,63.94,2011-05-23,2015-01-27
CS1638,15,1035.0,69.0,2011-06-30,2014-07-29
CS1165,20,1335.0,66.75,2011-07-28,2014-12-12
CS4593,24,1760.0,73.33,2011-05-20,2015-02-17
CS3414,28,2105.0,75.18,2011-05-29,2015-01-19
CS2252,31,2120.0,68.39,2011-06-03,2015-02-10
CS3598,20,1398.0,69.9,2011-08-19,2014-12-12
CS3642,14,977.0,69.79,2011-08-10,2014-08-07
CS5948,16,1156.0,72.25,2011-06-30,2015-01-24
CS5582,16,1087.0,67.94,2011-10-27,2014-11-10
CS6107,17,1327.0,78.06,2011-07-23,2015-01-03
CS5201,20,1343.0,67.15,2011-05-26,2015-02-14
CS1639,23,1619.0,70.39,2012-02-22,2015-03-04
CS3515,25,1679.0,67.16,2011-05-27,2015-01-31
CS2332,16,909.0,56.81,2011-08-04,2014-06-02
CS5628,16,1093.0,68.31,2011-06-07,2015-02-08
CS4830,18,1253.0,69.61,2011-10-02,2015-02-26
CS1673,26,1784.0,68.62,2011-06-12,2015-01-21
CS4993,26,1765.0,67.88,2011-06-01,2015-02-20
CS2603,17,1206.0,70.94,2011-11-21,2015-02-08
CS1800,16,1053.0,65.81,2011-05-17,2015-03-14
CS3911,31,2229.0,71.9,2011-07-26,2015-03-06
CS5465,17,1199.0,70.53,2011-09-23,2015-01-20
CS2373,26,1728.0,66.46,2011-05-29,2014-10-13
CS1241,27,1818.0,67.33,2011-05-21,2015-02-16
CS4244,17,1131.0,66.53,2011-07-27,2015-03-15
CS5233,11,795.0,72.27,2012-06-24,2014-09-27
CS5405,22,1577.0,71.68,2011-05-30,2014-12-06
CS4115,24,1763.0,73.46,2011-07-26,2014-12-16
CS4283,20,1339.0,66.95,2011-05-25,2014-12-02
CS4420,15,1230.0,82.0,2011-11-07,2015-01-26
CS2567,17,1156.0,68.0,2011-07-15,2015-03-15
CS3629,20,1364.0,68.2,2011-09-23,2015-03-15
CS2026,28,1907.0,68.11,2011-06-20,2015-03-14
CS4338,22,1468.0,66.73,2011-09-20,2015-02-07
CS4142,19,1364.0,71.79,2011-06-15,2015-02-22
CS2837,26,1813.0,69.73,2011-06-11,2015-02-24
CS1625,14,950.0,67.86,2011-08-29,2015-03-11
CS4873,14,1130.0,80.71,2011-06-07,2014-05-09
CS3376,18,1149.0,63.83,2011-06-12,2015-02-23
CS4311,22,1531.0,69.59,2011-06-05,2014-11-17
